@Relation MeganDataSet

@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel				NUMERIC
@Attribute AirCondition		NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear				NUMERIC

@Data
236251,3249,2001,100,0,1,1,1
194000,4099,2003,85,0,1,1,0
125000,8200,2005,85,0,0,1,0
170000,4499,2003,110,0,1,1,1
183000,4490,2005,110,1,1,1,0
221513,1000,1985,55,0,0,0,0
190000,9600,2006,110,0,1,1,0
208000,9000,2004,125,0,1,1,0
250000,3600,2001,100,1,1,1,0
265200,1750,1993,73,0,1,1,0
198856,5000,2002,110,0,1,1,0
179000,13400,2010,85,0,0,1,0
173000,4790,2002,85,0,1,1,0
230,4550,2002,110,0,1,1,0
150000,9100,2005,110,1,1,1,0
180,7000,2004,130,0,1,1,1
230000,400,1993,110,0,1,1,0
284500,4200,2000,120,0,1,1,0
231000,3900,2000,100,1,1,1,0
250000,1300,1990,90,0,1,1,0
150600,19000,2004,243,1,1,0,1
39100,18555,2012,105,1,1,1,0
260000,9500,2005,200,0,0,1,1
210000,6000,2003,147,0,1,1,1
390000,1500,1993,110,0,1,0,0
165000,39000,2008,180,0,1,1,1
123256,650,1987,58,0,1,1,0
220000,2500,1992,141,0,1,1,0
185560,4200,2000,100,1,1,1,0
310000,10950,2008,145,1,0,1,1
220000,1730,1996,85,1,1,1,0
220000,2199,1997,110,0,0,1,0
187540,16700,2008,177,1,1,1,0
335000,1299,1997,75,1,0,0,0
240000,2500,1998,210,1,1,1,0
275000,5900,2002,85,0,1,1,0
205000,7280,2006,90,0,1,1,0
258963,1050,1993,141,0,0,1,0
315000,6300,2003,122,0,1,1,0
234234,2400,2002,59,0,1,0,0
200000,650,1992,131,0,1,1,0
210000,2900,2001,85,0,1,0,0
249000,3200,1997,110,0,1,1,0
273000,3800,2001,87,0,1,1,0
232000,3100,1996,115,0,0,1,0
170000,3800,1999,77,0,1,1,0
3315135,600,1990,70,0,1,1,0
245000,11000,2005,200,0,1,1,1
255000,3500,1998,142,0,1,1,0
168000,26600,2010,180,0,1,1,1
280000,999,1991,85,0,1,1,0
175000,11300,2007,110,1,1,1,0
146102,1900,1991,110,0,1,1,0
122500,2100,1987,77,1,0,1,0
160564,4600,2002,100,0,1,1,0
200952,4399,2002,110,0,0,1,0
150520,9599,2008,105,0,1,1,0
113900,15800,2010,135,0,0,1,1
195458,3500,2001,100,0,1,1,0
138589,4500,2002,85,0,1,1,0
46500,39000,2013,135,0,1,1,1
199999,5499,2004,110,0,1,1,0
187533,7000,2003,160,0,1,1,1
214018,5490,2004,85,0,1,1,0
9600,48990,2014,140,0,1,1,1
166000,6950,2006,90,0,1,1,0
125000,3900,2003,85,0,1,0,0
75000,14000,2006,170,0,1,1,1
227000,6300,2003,105,0,1,0,0
10814,19900,2014,70,0,1,1,0
148200,11900,2007,120,0,1,1,0
197304,3999,2000,100,0,1,1,0
179000,3590,2002,100,0,0,1,0
100748,26500,2009,173,0,1,1,1
112000,17000,2007,155,0,1,1,1
189000,2100,2000,77,0,1,1,0
230000,3800,2002,180,0,1,1,1
190000,3700,2002,110,0,1,1,0
119000,12500,2004,160,0,1,1,1
1,3300,2007,120,1,1,1,0
310000,5200,2002,142,0,1,1,1
220000,590,1989,74,0,1,1,0
172000,4800,2003,85,0,1,1,0
190000,3650,2002,105,0,1,1,0
215224,12350,2007,110,0,1,1,0
160000,1550,1995,110,1,1,1,0
143000,2500,2000,77,0,1,0,0
230000,4500,2001,142,0,1,1,1
280000,7000,2004,177,0,1,1,1
170176,4300,2002,85,0,1,1,0
294000,1750,1997,142,1,1,1,0
230000,1550,1992,83,0,1,1,0
170630,22000,2008,173,0,1,1,1
180000,24900,2008,173,1,1,1,1
300,1250,1991,145,0,0,1,0
183000,9000,2004,110,0,0,0,0
3000000,400,1990,84,0,1,0,0
212075,5999,2005,86,1,1,1,1
305500,4300,2000,100,0,1,1,0
300000,1750,1996,105,1,1,1,0
300000,1750,1993,83,1,1,1,0
230000,42500,2009,210,0,1,1,1
250000,1000,1990,80,0,0,0,0
264497,3350,1999,100,1,0,1,0
214715,4900,2000,100,0,1,1,0
185000,4199,2000,100,0,0,1,0
200000,1300,1995,110,1,1,1,0
89300,16900,2007,170,0,1,0,1
254000,1300,1993,98,1,0,1,1
160000,4700,2004,85,0,1,1,0
147000,6800,2004,120,0,0,1,0
224000,3850,2000,100,0,1,1,0
193130,3600,2000,100,1,1,1,0
120000,900,1989,77,0,1,1,0
1,1100,1991,110,1,1,1,0
176000,8900,2004,160,1,1,1,1
141000,3500,1999,87,0,1,1,0
160100,3500,1999,110,0,0,1,0
163000,4250,2003,100,0,1,1,0
160000,6499,2004,110,0,1,1,0
176000,8200,2008,105,0,1,1,0
270000,3500,2001,100,0,0,1,0
305000,3500,2000,100,0,1,1,0
267152,900,1985,65,0,1,0,0
191000,20800,2008,173,0,1,1,1
196255,6700,2005,85,1,1,1,0
166500,3800,1989,95,0,1,1,0
150000,3750,2000,87,0,1,1,1
330000,2999,1998,66,0,0,1,0
245000,1600,1991,110,0,1,1,0
271000,1499,1989,92,0,1,1,0
193669,1900,1994,141,0,0,1,0
273000,3800,2000,110,0,1,1,0
309000,550,1991,105,0,0,1,0
220000,4350,2004,105,0,1,1,0
150000,8500,2006,145,0,1,1,0
198639,1150,1990,9,0,1,1,0
22500,16500,2013,70,0,1,1,0
247000,3998,1999,180,0,1,1,1
229850,3700,2001,100,0,1,1,0
181500,7100,2006,120,0,1,1,0
180000,19900,2007,155,0,0,1,1
182596,3599,2001,100,0,1,1,0
256000,3500,1997,110,0,1,1,1
228000,3900,2001,100,0,1,1,0
